sample_group,n,spearman,spearman_lo,spearman_hi,spearman_ci_width,spearman_p,sign_agreement,sign_lo,sign_hi,sign_ci_width
kidney_cortex,58,0.5054,0.2691,0.6843,0.4152,5.193696111452691e-05,0.7759,0.6534,0.8641,0.2107
vagina,140,0.4272,0.2743,0.559,0.2847,1.4104617108712127e-07,0.6857,0.6047,0.7568,0.1521
brain_substantia_nigra,142,0.5281,0.3885,0.644,0.2555,1.443456375750086e-11,0.6479,0.5664,0.7216,0.1552
brain_amygdala,166,0.508,0.3774,0.6189,0.2415,2.8090644754772193e-12,0.6687,0.594,0.7358,0.1418
uterus,202,0.5046,0.3868,0.6063,0.2195,1.8911050836307095e-14,0.6584,0.5906,0.7203,0.1297
brain_hippocampus,207,0.4464,0.3242,0.554,0.2298,1.569080080615252e-11,0.6618,0.595,0.7228,0.1279
minor_salivary_gland,227,0.5485,0.4429,0.6391,0.1963,3.129783944746666e-19,0.7137,0.6517,0.7685,0.1168
brain_spinal_cord,240,0.5026,0.395,0.5966,0.2017,9.112164076080292e-17,0.6583,0.5963,0.7154,0.1192
brain_hypothalamus,244,0.5137,0.4082,0.6057,0.1975,7.8407603070138e-18,0.709,0.6491,0.7624,0.1133
brain_anterior_cingulate_cortex,248,0.4511,0.3405,0.5494,0.2089,7.791066646815132e-14,0.6532,0.5921,0.7097,0.1177
LCL,265,0.5453,0.4478,0.63,0.1823,6.2251737357958095e-22,0.7057,0.6482,0.7573,0.1091
liver,282,0.5604,0.4678,0.6409,0.1731,1.009370884930311e-24,0.727,0.6722,0.7756,0.1035
artery_coronary,297,0.4829,0.3851,0.57,0.185,9.300629690035865e-19,0.6936,0.639,0.7433,0.1043
ovary,304,0.5022,0.4073,0.5864,0.1791,7.907352461527195e-21,0.6875,0.6333,0.737,0.1037
small_intestine,316,0.495,0.4014,0.5784,0.177,6.1772335127816356e-21,0.693,0.6401,0.7413,0.1012
brain_putamen,361,0.424,0.3314,0.5085,0.1771,3.479428439253608e-17,0.6593,0.6089,0.7063,0.0973
brain_frontal_cortex,365,0.4775,0.3893,0.557,0.1677,3.493381079298462e-22,0.7014,0.6525,0.746,0.0935
prostate,388,0.5365,0.4561,0.6082,0.1521,2.667351823886709e-30,0.683,0.6351,0.7273,0.0922
brain_nucleus_accumbens,404,0.3952,0.3062,0.4774,0.1712,1.4942826736739405e-16,0.6436,0.5957,0.6887,0.093
brain_caudate,431,0.3963,0.3103,0.4759,0.1656,1.1692316403679439e-17,0.6636,0.6177,0.7066,0.0889
adrenal_gland,469,0.5336,0.4606,0.5994,0.1388,7.2937539864617e-36,0.7058,0.663,0.7452,0.0822
pituitary,482,0.5002,0.4256,0.568,0.1423,7.095337943645727e-32,0.695,0.6525,0.7344,0.0819
stomach,504,0.5228,0.4517,0.5873,0.1356,1.0550425918830305e-36,0.7143,0.6733,0.752,0.0786
brain_cortex,504,0.4195,0.3415,0.4918,0.1503,6.608685312998858e-23,0.6508,0.6082,0.6911,0.083
colon_sigmoid,594,0.5166,0.4509,0.5767,0.1258,7.828000644936222e-42,0.7071,0.6692,0.7422,0.073
heart_left_ventricle,616,0.505,0.4398,0.5649,0.1252,3.5416450875665304e-41,0.7062,0.669,0.7408,0.0718
brain_cerebellar_hemisphere,654,0.4316,0.364,0.4946,0.1306,4.769064650564197e-31,0.6804,0.6437,0.715,0.0713
breast,673,0.5122,0.4503,0.5691,0.1188,2.806355248809938e-46,0.7073,0.6718,0.7404,0.0686
pancreas,687,0.4578,0.3934,0.5178,0.1244,6.782597661518041e-37,0.6783,0.6425,0.7122,0.0697
colon_transverse,713,0.4873,0.4257,0.5443,0.1186,8.608651060149083e-44,0.6858,0.6508,0.7188,0.068
esophagus_gej,717,0.4909,0.4298,0.5476,0.1178,9.406963493620694e-45,0.6764,0.6413,0.7097,0.0683
heart_atrial_appendage,720,0.54,0.4822,0.5931,0.111,9.787361801868383e-56,0.7083,0.6741,0.7404,0.0663
spleen,725,0.4937,0.4331,0.5499,0.1168,8.168236880527753e-46,0.6952,0.6607,0.7276,0.0669
adipose_visceral,812,0.523,0.4676,0.5743,0.1067,3.3530641019700446e-58,0.7143,0.6823,0.7443,0.062
artery_aorta,816,0.4807,0.4229,0.5345,0.1116,2.1110225616760892e-48,0.6936,0.6612,0.7243,0.0631
brain_cerebellum,934,0.4435,0.3878,0.4959,0.1081,2.827937070716798e-46,0.6777,0.6471,0.7069,0.0598
lung,958,0.499,0.4468,0.5478,0.101,1.9094244061187612e-61,0.6962,0.6664,0.7245,0.0581
skin_not_sun_exposed,969,0.4947,0.4426,0.5434,0.1009,6.099759193963431e-61,0.709,0.6796,0.7367,0.0571
muscle,1001,0.4732,0.4209,0.5224,0.1015,5.350764610424849e-57,0.6913,0.662,0.7191,0.0571
blood,1025,0.5409,0.4929,0.5857,0.0929,5.845744475443524e-79,0.7268,0.6987,0.7532,0.0545
esophagus_mucosa,1040,0.5284,0.48,0.5736,0.0936,7.275478214023118e-76,0.7163,0.6882,0.7429,0.0547
esophagus_muscularis,1124,0.4947,0.4464,0.5401,0.0937,2.033447898834152e-70,0.6859,0.6582,0.7124,0.0542
artery_tibial,1199,0.5097,0.4637,0.5529,0.0892,2.986817128271679e-80,0.7148,0.6886,0.7396,0.0511
fibroblast,1247,0.5434,0.5001,0.584,0.0839,9.741062476198784e-97,0.7017,0.6757,0.7264,0.0507
skin_sun_exposed,1256,0.4863,0.4403,0.5297,0.0894,1.6097318465871003e-75,0.6823,0.6561,0.7075,0.0514
adipose_subcutaneous,1293,0.4834,0.4379,0.5263,0.0884,1.1601878678998946e-76,0.6945,0.6689,0.719,0.0502
testis,1488,0.4856,0.4434,0.5256,0.0822,7.348563560107728e-89,0.6828,0.6587,0.7059,0.0472
nerve_tibial,1709,0.4914,0.4524,0.5285,0.0762,1.425513095192737e-104,0.6998,0.6777,0.7211,0.0434
thyroid,1718,0.4414,0.4006,0.4804,0.0798,7.78343773089119e-83,0.6793,0.6568,0.7009,0.0441
